"GOV","Level of government","TAX","Tax revenue","VAR","Indicator","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1991","1991","USD","US Dollar","9","Billions",,,91.649,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1992","1992","USD","US Dollar","9","Billions",,,99.732,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1993","1993","USD","US Dollar","9","Billions",,,96.242,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1994","1994","USD","US Dollar","9","Billions",,,103.383,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1995","1995","USD","US Dollar","9","Billions",,,117.872,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1996","1996","USD","US Dollar","9","Billions",,,117.92,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1997","1997","USD","US Dollar","9","Billions",,,111.27,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1998","1998","USD","US Dollar","9","Billions",,,115.611,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1999","1999","USD","US Dollar","9","Billions",,,114.212,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2000","2000","USD","US Dollar","9","Billions",,,103.603,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2001","2001","USD","US Dollar","9","Billions",,,103.429,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2002","2002","USD","US Dollar","9","Billions",,,113.088,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2003","2003","USD","US Dollar","9","Billions",,,137.695,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2004","2004","USD","US Dollar","9","Billions",,,160.315,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2005","2005","USD","US Dollar","9","Billions",,,167.065,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2006","2006","USD","US Dollar","9","Billions",,,176.383,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","2007","2007","USD","US Dollar","9","Billions",,,201.894,,
